,title,link,date,play_count,danmu_num,favorites,author
0,【五五开】穷开挂,http://www.bilibili.com/video/av18193325,2018-01-12,14286983,84509,398458,茶几君梦二
1,【五五开】千本挂,http://www.bilibili.com/video/av17971445,2018-01-05,4716337,22030,125262,茶几君梦二
2,【举起手来】花姑娘又要吸旺仔牛奶！,http://www.bilibili.com/video/av18521530,2018-01-20,3398094,23965,152294,疯猴pme
3,赵本山教你如何吃鸡,http://www.bilibili.com/video/av18147827,2018-01-10,2907653,7067,104747,鬼畜↑可乐♂
4,【刘醒&amp;梁非凡】pop醒和pipi凡的吔常-01,http://www.bilibili.com/video/av18761006,2018-01-26,2664773,10050,105973,浅澄月
5,炉石♂传说,http://www.bilibili.com/video/av18794968,2018-01-27,2577992,10314,73543,上海滩许Van强
6,【全明星】 2017鬼畜全星大回顾,http://www.bilibili.com/video/av18190165,2018-01-11,2529636,12901,135867,OELoop
7,【全明星】茅庐互怼,http://www.bilibili.com/video/av18401064,2018-01-18,1897889,7490,51810,女孩为何穿短裙
8,王VS猪——末日滑稽的对决,http://www.bilibili.com/video/av18639225,2018-01-23,1873418,12839,34338,女孩为何穿短裙
9,央视主播朱广权：是我的段子冷还是天气冷,http://www.bilibili.com/video/av18947985,2018-01-31,1742097,5025,72937,鸡鸡·夫斯基
10,【渣渣灰&amp;古天咯】系兄弟一起来砍我,http://www.bilibili.com/video/av17993015,2018-01-05,1701690,2546,36331,疯猴pme
11,【卢本伟&amp;渣渣辉】贪玩挂,http://www.bilibili.com/video/av18526860,2018-01-20,1464267,2747,22654,猫店
12,一人我渣渣辉,http://www.bilibili.com/video/av18448365,2018-01-18,1430702,3428,45301,鋃月
13,【非桥段】叙利亚之殇,http://www.bilibili.com/video/av18687552,2018-01-24,1231711,8616,46175,共青团中央
14,【五五开】在下挂逼，有何贵干,http://www.bilibili.com/video/av18225813,2018-01-12,1118471,3416,22761,浅笑安然呐
15,【全明星】2017年，这些鬼畜你看过吗？,http://www.bilibili.com/video/av18158306,2018-01-10,1011736,3535,48638,小可儿
16,啊?你开挂是吧?,http://www.bilibili.com/video/av18523183,2018-01-20,988565,1494,3422,靓仔叁零肆
17,【诸葛村夫】鬼畜求生：大三国,http://www.bilibili.com/video/av18951725,2018-01-31,976187,3544,29823,八月给
18,【爱情公寓嘻哈】吕子乔rap反转地球,http://www.bilibili.com/video/av18125192,2018-01-09,918219,3567,27262,猫店
19,【全明星】猪哥你鲜肥多肉,http://www.bilibili.com/video/av18748839,2018-01-27,879420,4888,13977,女孩为何穿短裙
20,别点进来→_→,http://www.bilibili.com/video/av18891593,2018-01-29,832900,2184,7726,smqtasd
21,【特效向/DNF】地下城与男♂魂,http://www.bilibili.com/video/av18563006,2018-01-21,798254,2961,26149,豪言の经理
22,【大唐有嘻哈】盛唐伊始.贞观之治,http://www.bilibili.com/video/av18880837,2018-01-29,743610,3010,20584,推背兔の
23,【爱情公寓Rap】阳明山,http://www.bilibili.com/video/av18684968,2018-01-25,663240,2658,17244,冰攻厂BeSo
24,【渣渣辉】Baby,http://www.bilibili.com/video/av18310836,2018-01-14,662997,2059,16274,浅澄月
25,绝对兄贵防线————幻♂想♂乡,http://www.bilibili.com/video/av18409218,2018-01-19,655363,5352,22494,那年的黄昏
26,猫和老鼠亮剑（第二集）,http://www.bilibili.com/video/av18569766,2018-01-21,638488,6629,10646,辉腾之光
27,【多啦A梦rap】原来小叮当的口袋里装了这么多东西！,http://www.bilibili.com/video/av18374874,2018-01-16,634477,2847,19366,倒悬的橘子
28,爱酱的花Q循环，一天我也就听个上百次而已!,http://www.bilibili.com/video/av18056784,2018-01-07,634053,2727,30253,我与你拉钩
29,小猪佩奇5：你逼逼你MMP你再逼逼,http://www.bilibili.com/video/av18173933,2018-01-10,620146,1844,15546,鸡鸡·夫斯基
30,【广告全明星】电音之王渣渣辉,http://www.bilibili.com/video/av18251380,2018-01-13,613203,3566,21932,爱吃布丁的喵酱
31,【兄贵】威风堂堂♂,http://www.bilibili.com/video/av18521524,2018-01-20,606491,4529,24341,lonely晖
32,【渣渣辉】是兄弟就来绿我！,http://www.bilibili.com/video/av18161499,2018-01-10,605557,782,8380,倒悬的橘子
33,特朗普居然唱shape of you，挑战奥巴马！,http://www.bilibili.com/video/av18944556,2018-01-31,590118,2897,12786,汤神君没有女朋友
34,【骚男】当弟♂弟穿上女装后，老骚彻底暴露了,http://www.bilibili.com/video/av17889877,2018-01-02,577838,440,4794,喷子贱
35,【保加利亚挂比】HOP,http://www.bilibili.com/video/av18324711,2018-01-15,550457,1195,3576,风生水起的我们
36,全程♂高能,http://www.bilibili.com/video/av17964405,2018-01-05,547681,4697,15979,白の杰
37,拒检姐: 让全国看见我！,http://www.bilibili.com/video/av18454884,2018-01-18,535609,4129,7508,OELoop
38,震惊!小猪佩奇竟然挂掉了李泽言的电话！,http://www.bilibili.com/video/av18486721,2018-01-20,518062,4014,26280,手游菌
39,【渣渣辉】你没有看过的船新版本,http://www.bilibili.com/video/av18861437,2018-01-29,513963,1007,6160,加藤海灵顿
40,【五五开】病名为挂,http://www.bilibili.com/video/av18466827,2018-01-19,507342,4974,10953,GK几何
41,一不小心把从别的up那借来的猫玩坏了怎么办？急，在线等,http://www.bilibili.com/video/av18196399,2018-01-11,474810,5606,17456,小P孩儿呐
42,【特效向x哲学】哲学超,http://www.bilibili.com/video/av18097343,2018-01-08,455526,1950,17226,一个可丽饼
43,《猫和老鼠亮剑》（第一集）,http://www.bilibili.com/video/av18139998,2018-01-09,454363,3614,7998,辉腾之光
44,【李云龙&amp;常乃超】鄙人不擅于奔跑,http://www.bilibili.com/video/av18066644,2018-01-07,433514,754,4890,裸奔的爱毛
45,【渣渣辉】是兄弟就给我一个吻！,http://www.bilibili.com/video/av18336390,2018-01-15,426868,1096,4271,潮汕好男人
46,我窜改了一下李泽言的台词,http://www.bilibili.com/video/av18373369,2018-01-16,426040,4396,20432,去哪吃吃什么
