name,value
火钳刘明,46210881
泪目,12813589
上香,4983076
开口跪,4092976
猝不及防,3679286
妙啊,3499137
真香,2226860
前方高能,1716498
上电视,1499524
自由,933953
王一路走好,715155
该来的还是来了,624060
注入灵魂,540127
新人都是怪物,539903
蕉迟但到,487650
嘤嘤嘤,468429
百万填词,443175
新年快乐,386108
那个男人,354517
你是魔鬼吗,349436
戆大,330308
百万调音师,301278
优秀,287100
厉害了,262319
文艺复兴,252067
你好骚啊,240610
花Q,236566
skr,232417
不务正业,229033
你也有今天,224932
又疯一个,207421
战术换气,206198
狮子说的对,204395
自由的气息,201891
好看不火,199006
防不胜防,192526
厉害,192503
我要这硬币有何用,187279
我们不一样,185804
粗鄙之语,183742
有生之年,183255
哦呼,181692
交封不杀,177751
毫无违和感,177548
失踪人口回归,172644
葛叔生日快乐,160360
顶风作案,159979
吐痰,158828
乌拉,158708
啊♂,158570
打扰了,139851
骑兵连进攻,139043
可带劲了,131832
giao,130623
全体起立,129300
烤面筋,125645
标准结局,123117
混入其中,121612
每日一刷,118607
我要上电视,114357
真实,114171
一路走好,110134
乌鸦坐飞机,105225
带制作,100048
红红火火恍恍惚惚,99340
猛男落泪,98801
有毒,96057
开炮,95916
高考加油,95799
措不及防,95634
讲究,91520
某幻君,89370
这段传奇有我的名字,88510
该来的总会来,88324
可耻的播放量,86861
留名,86473
该来的总会来的,86233
致敬,85259
万能英语,83578
完结撒花,83205
亿万填词,82725
燃烧我的卡路里,81230
真香警告,80555
古天乐绿了,80267
悠悠苍天何薄于我,80076
面筋超带劲,79686
颜表立,79227
在现场,77189
义结筋澜,76807
上电视了,76039
喵啊,75989
绝了,72746
精彩,72369
我们是冠军,72216
笑死我了,69775
上天猫就够了,69512
awsl,68494
干得漂亮,68401
参见公主殿下,68063
病名为爱,65777
负债调音师,65520
存活,65257
没茅台,63579
笑死,63530
喜欢,63368
孙一峰永远是我大哥,63059
逮虾户,62609
当场去世,62002
可以,61638
绝地大科学家,61567
他来了,61162
没人,60779
伊丽莎白鼠,60594
进攻,60198
我哭了你们呢,60126
妙啊妙啊,59523
万恶之源,59089
荆轲刺秦王,58538
万能德语,58447
15新世界,58338
刘明,57838
15,57545
愿意,57153
走好,57071
不断,56967
恭喜,56802
俺也一样,55728
不敢当,55176
枪声0,54585
面筋,53582
完美驾驭,53560
=),53428
金坷垃,52026
可带劲啦,50994
口区,50779
谢谢老仙,49327
坑军出征寸草不生,48501
书记真帅,48165
加油,48061
天之蕉子,47404
毫无ps痕迹,47307
一只兲,46173
辛苦了,45980
skrskr,45926
龙王的工作,45792
谢谢,45303
大萝卜鸡,45116
8848,44599
金牌演说家,44394
谢谢大仙,43226
阿婆克烈,43045
我有自己的梦想,42875
NML,42855
那个女人会来吗,42399
加大力度,42229
7777777,41665
渣渣辉,41538
15倍新世界,41197
哭了,41101
确认存活,40846
不用谢,40257
突然好想你,40150
我为何在哭泣,40087
顶上去报复社会,39974
这不自由,39441
10,38977
久等了,38858
王炸,38738
先生大才,37902
注入灵魂成功,37533
特效开头,37359
我管你的感受,37200
稀有素材,37141
暴力,37020
丞相保重啊,36363
尻面筋,36252
反弹,36252
前方核能,35859
不会,35448
狮子说得对,35376
出不去了,35133
就在今天,34944
般配,34343
你被官方盯上了,34240
吴亦凡进来挨打,34213
缘妙不可言,33985
枪声10,33900
避孕套儿,33705
短裙,33475
口住,33435
许愿清泉流响,33400
寒假作业要扔一边,33222
为何我只是个路人甲,32802
无中生友,32743
多帅哦,32256
我是火车王,32191
目测会火,32130
欺君罔上,32125
厚颜无耻,32112
带劲,31734
我是神仙卢本伟,31508
催更,31330
是他,31116
天依,30893
胖次你也有今天,30774
把哲学放声歌唱,30616
百万助攻,30540
为王的诞生献上面筋,30470
我愿意,30165
绿了,30113
凸0w0凸,29997
出鞘吧手中的刀剑,29920
老番茄你也有今天,29819
我们陪你走更远,29610
正片开始,29433
下个ID见,29272
拔剑吧音乐区,29009
赞美之心,28896
许愿王,28890
好好好,28716
正片,28688
不信,28682
上电视上电视,28666
上电视啦,28593
存活确认,28493
新人都是怪物系列,28402
王大境泽,28380
万一中了呢,28122
有人吗,28061
来了,28006
cn,27956
求bgm,27550
来了来了,27245
许愿氤氲之息,27102
懂了,26412
好听不火系列,26274
祖国生日快乐,26246
此生无悔入刀剑,26001
B站不倒葛叔不老,25905
老男孩最棒,25900
一代筋师,25760
蜜汁好听,25586
哔哩哔哩根本不倒,25568
万能嘤语,25491
yo,25490
你被王境泽盯上了,25243
呵呵,25168
欠费调音师,25102
貌美如花雁北王,25088
默哀,25010
注入灵魂失败,24942
出必还愿,24714
白鼠,24375
其实我喜欢你很久了,24300
如果这都不算爱,24281
靠谱,24074
负债累累调音师,24046
很多很多,23991
强者无畏惧,23904
愿世界对你温柔以待,23859
你被面筋哥盯上了,23818
耍花枪,23655
最贵的还是溜肥肠,23650
愿世界和平,23598
借你吉言,23376
弹幕呢,23169
会员色,23126
米奇妙妙屋,23103
duang,22980
信仰之跃,22878
万能的英语,22774
可爱,22773
不如鬼畜,22701
大哥,22407
等你尚可,22327
上电视预定,22250
夫妻关系,22050
没有,22011
hhhhhh,21882
我是比利王,21696
本子预定,21535
过于真实,21509
人才啊,21279
不错,21266
参见教主,21258
尻比,21183
明示投币,21181
血小板是我老婆,21131
777777777,21106
心中无码自然高清,20939
陛下的歌唱天下第一,20925
Duang,20839
呱呱蛙,20646
开哥回来吧,20484
战歌起,20414
打老婆算什么男人,20390
我杀我自己,20190
报告团长我愿意,20160
\|,20105
参见丞相,20104
前方高能预警,19978
嘛意思弟弟,19940
777777,19902
铁骨铮铮王境泽,19895
商业互吹,19840
改革春风吹满地,19702
没有灵魂,19684
看着天美死在眼前,19436
楚留香,19312
不敢当不敢当,19272
好评,19253
在这里,19250
见封滚,19207
中华岂居人下,19072
开哥我想你了,18989
才能嫁给他,18908
螳螂,18850
感动,18797
你怎么走,18778
老公,18690
丧心病狂,18632
老女人,18616
夏亚加油,18582
战术甩头,18520
我又来了,18488
太真实了,18432
恭送丞相,18414
中了墨毒没解药,18360
最后亿遍,18193
冲鸭,18161
77777777,18106
我全都要,18090
英雄不朽,18006
许愿孔明,17930
RIP,17876
凸OwO凸,17820
壮哉盘丝洞,17712
蕉到且早,17707
放炮,17655
思维窃取,17639
毫无PS痕迹,17580
干的漂亮,17510
灵魂p图,17484
云龙兄云飞在此,17454
求BGM,17409
值得,17316
高能,17294
害怕,17226
真不愧是老骚豆腐呢,17214
老师辛苦了,17168
亿万调音师,17110
做到了,17005
难受啊马飞,16936
童年,16855
极乐净土,16822
爸爸死吧,16640
欠债调音师,16500
我们都铭记于心,16362
局座生日快乐,16320
自由自由自由,16317
真好,16281
致敬老艺术家,16276
我的洞天下无敌,16192
万能的德语,16161
西撒,16086
你不要过来啊,16030
开哥,15900
过审小王子,15814
以继盛唐,15785
剑来,15759
肖钱大法好,15656
英雄应不朽,15635
枪声5,15627
红军不怕远征难,15606
宝哥,15496
李姐万岁,15487
kksk,15457
多捞哦,15440
幻想乡,15324
告辞,15190
CN,15183
有点骚,15119
千本樱,15065
滴滴滴,14934
马老师辛苦了,14868
核爆好评,14766
这个我是真的不知道,14705
筋木研,14688
借您吉言,14680
妨碍咱都渣渣,14500
四面楚歌王来挡,14404
鬼畜与你同行,14400
窒息,14310
面筋烤一下,14300
天秀,14181
这一世为你逗捧笑颜,14178
yesido,14136
钉宫生日快乐,14040
突破自己琳琅天上,13917
小埋,13841
女装大佬,13821
不断电,13770
上天猫,13746
辣眼睛,13740
喵帕斯,13674
有梦终能如愿以偿,13668
送终鸡,13495
up辛苦了,13399
der,13393
超威蓝猫,13381
白色应援,13330
14,13262
好听不火,13236
up你是魔鬼吗,13028
我爱国永不变,12995
还能叫相声吗,12985
许愿莉莉丝,12864
一拳一个泪目怪,12657
爱情公寓,12580
马老师看我,12540
大力出奇迹,12516
再无人可侵,12483
我养你啊,12398
眉有办法,12355
顾子熹我喜欢你,12284
我用爱发电,12272
波澜,12264
戎马十年一刹,12238
中考加油,12238
嘻嘻我们穷开挂,12190
公车私用,11998
我永远喜欢伊莉雅,11939
高考必胜,11913
合影,11765
团长好,11726
惊了,11700
黑镖客梦回,11500
封印解除,11462
狱中撩发敢问还有谁,11396
阿破克烈,11360
嘿嘿嘿,11286
skrskrskr,11170
新婚快乐,11102
爱你,11100
笑死了,11069
德玛西亚万岁,11040
只和泽文在一起,10944
大快人心,10938
hop,10788
渣渣,10781
儒雅随和,10738
音乐区拔剑吧,10608
