,title,link,date,play_count,danmu_num,favorites,author
0,【杨超越】Giao！鬼畜全明星·燃烧我的卡路里,http://www.bilibili.com/video/av28658877,2018-08-06,5185859,26803,178483,鸡鸡·夫斯基
1,当百万调音师遇上杨超越破音的那句“燃烧我的卡路里”,http://www.bilibili.com/video/av29435499,2018-08-15,4605982,6790,35021,一包手纸
2,【爱情公寓】燃烧我的山寨机！,http://www.bilibili.com/video/av29813076,2018-08-20,4418394,13684,130385,猫店
3,【鬼畜金曲】《信仰之路》,http://www.bilibili.com/video/av28968307,2018-08-10,3252973,49697,94839,伊丽莎白鼠
4,吴亦凡最新trap曲《大碗宽面》,http://www.bilibili.com/video/av28301941,2018-08-02,2739312,8221,56111,枪弹轨迹
5,【冷面作品】《来自加拿带的你》 孙笑川 · 吴亦凡,http://www.bilibili.com/video/av28580701,2018-08-05,2419353,15138,58463,冷面Lim
6,【电音五五开】头号玩家,http://www.bilibili.com/video/av28668160,2018-08-06,2186710,9464,66883,哦呼w
7,【多明星】That Girl,http://www.bilibili.com/video/av29297470,2018-08-14,1986687,16785,89183,猫店
8,【你好骚啊】钢铁渣男洪世贤RAP,http://www.bilibili.com/video/av30446505,2018-08-27,1463315,3605,46476,鸡鸡·夫斯基
9,他就是你梦里的男人？,http://www.bilibili.com/video/av28252054,2018-08-02,1339389,21753,47807,上海滩许Van强
10,当鬼畜全明星参加中国新说唱  吴亦凡：笑skr人！,http://www.bilibili.com/video/av28997040,2018-08-11,1283973,18560,52852,倒悬的橘子
11,无恶不作丶mata川,http://www.bilibili.com/video/av29813097,2018-08-20,1228305,1347,33273,沈阳探险家
12,TiK♂ToK,http://www.bilibili.com/video/av30769568,2018-08-31,1199703,5906,63072,可樂C
13,【全明星】毁童年的鬼畜铠甲勇士,http://www.bilibili.com/video/av29477447,2018-08-16,1062412,5509,23082,糖糖糖糖饼
14,【五五开】卡卢里,http://www.bilibili.com/video/av29428194,2018-08-15,1060572,6008,33053,皓月-moonqshine
15,【特效向/DNF】地下城与男♂魂：补丁♂大战（番外篇）,http://www.bilibili.com/video/av28781814,2018-08-08,984321,4696,42130,豪言の经理
16,当猫和老鼠遇到dnf的技能特效！【第二期】,http://www.bilibili.com/video/av29938797,2018-08-21,981316,2943,15052,若终有一天
17,当猫和老鼠遇到dnf的技能特效！【第一期】,http://www.bilibili.com/video/av28310405,2018-08-02,955965,1886,5107,若终有一天
18,【雷军×卡路里】燃烧我的小米机！,http://www.bilibili.com/video/av30193170,2018-08-24,915255,6763,30778,Mr.Lemon
19,【孙笑川Rap】带带大师兄哭诉网络暴力,http://www.bilibili.com/video/av29080261,2018-08-11,854404,2120,22898,鸡鸡·夫斯基
20,【转载】特朗普最新魔性单曲《Believer》,http://www.bilibili.com/video/av30436013,2018-08-27,836398,5911,48268,幻非君
21,当灵魂配音遇上鬼畜BGM,http://www.bilibili.com/video/av28400766,2018-08-03,760977,3840,19499,还有一天就放假了
22,【山海】仙剑皮侠传第五集-卢本伟uzi旭旭宝宝大司马,http://www.bilibili.com/video/av29243175,2018-08-13,756747,5030,10967,山海zoom
23,变形记4,http://www.bilibili.com/video/av29219264,2018-08-13,731893,1115,10153,良zzZ
24,【中国boy】唱《卡路里》,http://www.bilibili.com/video/av28861399,2018-08-09,722696,9564,26398,UP-Sings
25,【鬼畜配音】猫和老鼠11：神仙之争,http://www.bilibili.com/video/av30273927,2018-08-25,717641,6004,17378,致远SL
26,【赵本山】治疗你的卡路里,http://www.bilibili.com/video/av30791073,2018-08-31,683596,2559,19691,旺仔老馒头_QAQ
27,全B站还没有我章鱼哥吹不出来的曲子,http://www.bilibili.com/video/av28845942,2018-08-08,660387,4502,15941,薄荷味妮可
28,【猫和老鼠】卡路里卡路里卡路卡路里卡路里卡路,http://www.bilibili.com/video/av29999642,2018-08-22,654176,3236,26324,小卡塔克
29,【某幻rap】这一家都是什么人啊,http://www.bilibili.com/video/av30692094,2018-08-30,640771,2844,34236,鬼畜↑可乐♂
30,【芦苇】我的一个挂比朋友,http://www.bilibili.com/video/av30712493,2018-08-31,635906,4047,11511,瞬间爆炸型LowSing
31,苏♂醒,http://www.bilibili.com/video/av28797685,2018-08-08,595979,3842,20732,可樂C
32,浴火♂重生,http://www.bilibili.com/video/av30455910,2018-08-27,585475,8040,13653,瞑浔Sabri
33,【全明星】BAAM,http://www.bilibili.com/video/av28094911,2018-08-02,584314,3803,16311,痒局长
34,【五五开】that girl那个科学家,http://www.bilibili.com/video/av29259143,2018-08-15,577749,3496,17125,旺仔老馒头_QAQ
35,【芦苇】 俺求你啦Angelina【Are you 开挂?】,http://www.bilibili.com/video/av30257137,2018-08-25,570620,3174,25462,OELoop
36,【注入灵魂】卢本伟牛逼！,http://www.bilibili.com/video/av30581029,2018-08-29,564595,3224,17084,一咸菊菊
37,【GIAO哥】GIAO哥最新洗脑单曲《中国GIAO，I&#39;M DIAO》,http://www.bilibili.com/video/av30044406,2018-08-23,562552,2088,11156,一个可丽饼
38,【火箭全明星】燃烧我的卡路里！！,http://www.bilibili.com/video/av29326180,2018-08-14,542275,4041,24809,龙大人不喷火
39,【全明星说唱】爱你♪跟着鬼畜的节奏摇,http://www.bilibili.com/video/av29944928,2018-08-22,508537,3125,22531,一咸菊菊
40,【伊莉雅女仆】人参赢家：只要有魄力，老婆来养你！,http://www.bilibili.com/video/av29180077,2018-08-12,506822,2155,28651,约谈人参
41,【我敲你猜】周董的鬼畜听力小测试,http://www.bilibili.com/video/av30135952,2018-08-23,495384,8023,13665,还有一天就放假了
42,【多明星】ピースサイン- 米津玄师,http://www.bilibili.com/video/av29074784,2018-08-11,493329,2812,28202,冰攻厂BeSo
43,【多明星】动感泰山，隔壁波澜！,http://www.bilibili.com/video/av29779848,2018-08-19,488703,2060,17042,毒师DR_G
44,全明星鬼畜《成龙历险记》最新,http://www.bilibili.com/video/av29947603,2018-08-21,483746,5796,21596,你的昵称叫男孩子
45,【逗鱼时刻】炉石鬼畜全明星【灵魂rap】,http://www.bilibili.com/video/av28391896,2018-08-03,436113,466,7300,小孔成大象
46,【尼禄真香】人参赢家：只要有魄力，皇帝是我妻！,http://www.bilibili.com/video/av29784238,2018-08-19,434147,3380,26058,约谈人参
47,【rap歌手YJJ】最新单曲《一枪爆头》Skr~Skr~,http://www.bilibili.com/video/av29079021,2018-08-11,430978,1139,3471,天天卡牌
48,【周立波】病名为爱,http://www.bilibili.com/video/av29494409,2018-08-17,430477,5425,11820,痒局长
49,【猫和老鼠】全程高能搞笑配音,http://www.bilibili.com/video/av28691181,2018-08-07,427045,2139,3498,夜场小丸子
